Date,MJD,t_JPL_sec,t_acc_usec,nu_Hz,sigma_nu,nudot_1e-15_s-2,sigma_nudot,DM_pc_cm-3,DMDot_pc_cm-3_yr-1,tau_408_usec
15/12/2011,55910,0.016894,430,29.70553903,7,-370843.37,1.06,56.79958,-0.41936,100
15/01/2012,55941,0.028576,170,29.70454589,3,-370746.21,0.42,56.77553,0.03458,100
15/02/2012,55972,0.031576,100,29.70355292,1,-370724.16,0.24,56.79513,0.35886,100
15/03/2012,56001,0.014454,100,29.70262407,2,-370690.59,0.31,56.79657,-0.12943,100
15/04/2012,56032,0.02441,80,29.70163125,2,-370663.39,0.23,56.79126,-0.1224,100
15/05/2012,56062,0.021703,60,29.70067052,1,-370633.95,0.15,56.79243,-0.10685,100
15/06/2012,56093,0.003467,120,29.69967787,4,-370595.21,0.72,56.79866,0.11587,100
15/08/2012,56154,0.019962,190,29.69772486,3,-370532.11,0.49,56.81211,0.15579,100
15/09/2012,56185,0.012978,200,29.69673244,5,-370520.93,0.76,56.79904,0.01963,100
15/10/2012,56215,0.018797,90,29.69577207,2,-370494.71,0.52,56.799,0.01963,100
15/11/2012,56246,0.017239,200,29.6947798,13,-370438.25,1.05,56.8416,0.35815,100
15/12/2012,56276,0.02195,190,29.69381963,3,-370430.01,0.73,56.8554,-0.27529,100
15/01/2013,56307,0.027855,100,29.69282751,2,-370403.39,0.35,56.8396,0.26402,100
15/02/2013,56338,0.006233,130,29.69183547,3,-370369.4,0.49,56.8238,-0.64139,100
15/03/2013,56366,0.018945,100,29.69093952,1,-370342.98,0.23,56.7899,-0.11405,100
15/04/2013,56397,0.01717,120,29.68994763,2,-370312.33,0.48,56.7837,0.15996,100
15/05/2013,56427,0.006031,120,29.68898784,2,-370263.62,0.38,56.7935,-0.08038,100
15/06/2013,56458,0.008063,80,29.68799614,1,-370251.73,0.28,56.7686,-0.24621,100
15/08/2013,56519,0.010752,125,29.68604493,2,-370188.44,0.39,56.7608,0.00276,100
15/09/2013,56550,0.012947,150,29.68505345,2,-370153.75,0.42,56.7679,0.2124,100
15/10/2013,56580,0.008588,90,29.68409403,8,-370136.15,1.02,56.7738,-0.44642,100
15/11/2013,56611,0.012788,100,29.68310273,1,-370089.62,0.27,56.7853,0.32505,100
15/12/2013,56641,0.010559,120,29.68214347,2,-370068.03,0.24,56.8015,-0.29505,100
15/01/2014,56672,0.020123,130,29.68115234,3,-370025.55,0.42,56.7932,-0.12795,100
15/02/2014,56703,0.013703,170,29.68016129,4,-370008.05,0.56,56.7713,-0.28095,100
15/03/2014,56731,0.030866,80,29.67926622,3,-369979.79,0.24,56.7651,0.07621,100
15/04/2014,56762,0.010926,120,29.67827532,3,-369942.92,0.51,56.7678,0.13631,100
15/05/2014,56792,0.013222,120,29.67731647,11,-369912.92,0.5,56.7649,-0.4787,100
15/06/2014,56823,0.02628,100,29.67632572,4,-369881.41,0.42,56.7603,-0.09541,100
15/08/2014,56884,0.016779,100,29.67437647,3,-369826.19,0.31,56.7689,0.0868,100
15/09/2014,56915,0.036037,120,29.67338598,4,-369771.26,0.57,56.7723,0.03472,100
15/10/2014,56945,0.025088,140,29.67242754,4,-369774.43,0.47,56.7762,0.05906,100
15/11/2014,56976,0.037619,80,29.6714372,2,-369730.03,0.21,56.7759,-0.04506,100
15/12/2014,57006,0.029487,90,29.67047889,3,-369701.57,0.36,56.776,-0.1538,100
15/01/2015,57037,0.00793,100,29.66948875,3,-369666.17,0.33,56.7716,0.05049,100
15/02/2015,57068,0.016395,100,29.66849869,3,-369636.52,0.35,56.7773,0.14642,100
15/03/2015,57096,0.002581,130,29.66760451,10,-369602.59,0.55,56.7796,0.04487,100
15/04/2015,57127,0.028738,100,29.66661461,4,-369571.63,0.44,56.7805,0.00505,100
15/05/2015,57157,0.007241,110,29.66565674,3,-369534.65,0.39,56.7855,-0.04847,100
15/06/2015,57188,0.02204,110,29.66466702,8,-369511.39,0.59,56.7841,-0.29871,100
15/08/2015,57249,0.006958,80,29.66271974,2,-369437.95,0.22,56.7799,0.03339,100
15/09/2015,57280,0.025424,90,29.66173027,5,-369416.08,0.42,56.7875,-0.23381,100
15/10/2015,57310,0.026759,90,29.6607728,2,-369377.15,0.25,56.7957,-0.24323,100
15/11/2015,57341,0.027488,60,29.65978351,10,-369339.17,0.2,56.7839,-0.14164,100
15/12/2015,57371,0.020647,140,29.65882622,3,-369305.2,0.41,56.8125,-0.36819,100
15/01/2016,57402,0.003132,160,29.65783711,2,-369278.39,0.36,56.7779,-0.47011,100
15/02/2016,57433,0.024663,70,29.65684806,3,-369252.11,0.28,56.7629,-0.014,100
15/03/2016,57462,0.010107,140,29.65592289,3,-369218.53,0.46,56.786,0.09694,100
15/04/2016,57493,0.026182,130,29.654934,3,-369189.79,0.51,56.7654,0.07902,100
15/05/2016,57523,0.000629,90,29.65397709,1,-369164.05,0.19,56.7657,0.08695,100
15/06/2016,57554,0.030226,100,29.65298837,3,-369124.15,0.76,56.7685,0,100
15/08/2016,57615,0.013619,130,29.65104306,2,-369067.63,0.37,56.765,0.04837,100
15/09/2016,57646,0.015324,100,29.65005459,2,-369032.61,0.32,56.7703,-0.0181,100
15/10/2016,57676,0.020242,90,29.64909809,2,-369010.1,0.25,56.7676,0.0394,100
08/11/2016,57700,0.004083,80,29.64833294,5,-368981.97,1.63,56.7991,1.1314,100
23/11/2016,57715,0.016934,90,29.64785475,4,-368970.96,1.28,56.7948,-0.9092,100
15/12/2016,57737,0.024934,80,29.64715343,1,-368942.9,0.19,56.7765,-0.0887,100
15/01/2017,57768,0.010499,100,29.6461653,2,-368912.64,0.36,56.7761,0.1883,100
15/02/2017,57799,0.0124,100,29.64517727,3,-368879.38,0.39,56.7983,-0.0228,100
15/03/2017,57827,0.030854,170,29.64428493,4,-368842.49,0.66,56.8175,0.0688,
15/04/2017,57858,0.003728,120,29.64329706,3,-368812.11,0.45,56.8079,-0.128,100
15/05/2017,57888,0.000379,160,29.64234113,2,-368789.19,0.25,56.8098,-0.0474,100
15/06/2017,57919,0.009907,90,29.64135341,3,-368751.69,0.36,56.8053,-0.198,100
15/08/2017,57980,0.01593,100,29.63941008,2,-368702.11,0.26,56.7747,-0.163,100
15/09/2017,58011,0.032808,100,29.63842261,1,-368658.13,0.28,56.7627,-0.0285,100
15/10/2017,58041,0.032862,90,29.63746706,2,-368635.67,0.22,56.7603,-0.101,100
04/11/2017,58061,0.00856,20,29.63683008,3,-368616.01,5.19,56.7574,0,
11/11/2017,58068,0.018349,230,29.63662152,72,-369626.33,106.3,56.7575,0,100
22/11/2017,58079,0.02891,340,29.63626913,8,-370857.08,4.12,56.758,0,100
08/12/2017,58095,0.022203,230,29.63575676,7,-370375.12,5.53,56.7576,0,100
24/12/2017,58111,0.009635,200,29.63524505,6,-369986.53,3.81,56.7576,0,100
